epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1665.13,1.06103,0.90238,1,0.27924,0.0671048,0.000332275,0.000332275
2,3331.78,0.40863,0.95873,0.99921,0.13358,0.034103,0.000663804,0.000663804
3,4991.81,0.28336,0.98413,1,0.07004,0.00109396,0.000988136,0.000988136
4,6648.43,0.26533,0.98095,0.99921,0.06721,0.000975773,0.000975773,0.000975773
5,8305.5,0.17746,0.98571,1,0.06318,0.000957205,0.000957205,0.000957205
6,9960.05,0.13579,0.98651,0.99841,0.05175,0.000933683,0.000933683,0.000933683
7,11620.9,0.14246,0.99127,1,0.03846,0.000905463,0.000905463,0.000905463
8,13286,0.11536,0.99286,1,0.03441,0.000872857,0.000872857,0.000872857
9,14980.6,0.09829,0.99603,0.99921,0.06578,0.00083622,0.00083622,0.00083622
10,16669.1,0.07697,0.98889,0.99921,0.05053,0.000795954,0.000795954,0.000795954
11,18343.7,0.07762,0.99841,0.99921,0.0282,0.0007525,0.0007525,0.0007525
12,20013.8,0.0615,0.99286,1,0.03789,0.000706335,0.000706335,0.000706335
13,21697.7,0.06121,0.99603,0.99921,0.03153,0.000657963,0.000657963,0.000657963
14,23372,0.05309,0.99762,1,0.02874,0.000607916,0.000607916,0.000607916
15,25067.7,0.0564,0.99603,0.99921,0.02759,0.000556742,0.000556742,0.000556742
16,26746.8,0.04488,0.99841,0.99921,0.02703,0.000505,0.000505,0.000505
